ville,code_commune,departement,region,annee,score_sportif,score_economique
Sélestat,67462,Bas-Rhin,Alsace,2 019,"0,165","0,518"
Bourgoin-Jallieu,38053,Isère,Rhône-Alpes,2 014,"0,165","0,511"
Saran,45302,Loiret,Centre,2 020,"0,165","0,507"
Aurillac,15014,Cantal,Auvergne,2 017,"0,165","0,496"
Bayonne,64102,Pyrénées-Atlantiques,Aquitaine,2 018,"0,165","0,484"
Montauban,82121,Tarn-et-Garonne,Midi-Pyrénées,2 022,"0,165","0,005"
Pau,64445,Pyrénées-Atlantiques,Aquitaine,2 014,"0,165","0,531"
Amiens,80021,Somme,Picardie,2 012,"0,164","0,522"
Niort,79191,Deux-Sèvres,Poitou-Charentes,2 013,"0,163","0,538"
Pau,64445,Pyrénées-Atlantiques,Aquitaine,2 015,"0,162","0,546"
Arles,13004,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2 013,"0,160","0,481"
Le Mans,72181,Sarthe,Pays de la Loire,2 023,"0,160","0,009"
Rouen,76540,Seine-Maritime,Haute-Normandie,2 014,"0,160","0,539"
Rouen,76540,Seine-Maritime,Haute-Normandie,2 012,"0,160","0,510"
Pau,64445,Pyrénées-Atlantiques,Aquitaine,2 012,"0,159","0,494"
Bourg-en-Bresse,01053,Ain,Rhône-Alpes,2 018,"0,158","0,531"
Bourg-en-Bresse,01053,Ain,Rhône-Alpes,2 016,"0,158","0,522"
Rodez,12202,Aveyron,Midi-Pyrénées,2 023,"0,158","0,002"
Sochaux,25547,Doubs,Franche-Comté,2 016,"0,158","0,631"
Châteauroux,36044,Indre,Centre,2 012,"0,156","0,515"
Neuilly-sur-Marne,93050,Seine-Saint-Denis,Île-de-France,2 017,"0,155","0,466"
Saint-Gervais-les-Bains,74236,Haute-Savoie,Rhône-Alpes,2 023,"0,155","0,001"
Bourg-en-Bresse,01053,Ain,Rhône-Alpes,2 023,"0,155","0,003"
Laval,53130,Mayenne,Pays de la Loire,2 012,"0,155","0,463"
Angers,49007,Maine-et-Loire,Pays de la Loire,2 012,"0,155","0,520"
Le Mans,72181,Sarthe,Pays de la Loire,2 021,"0,155","0,563"
Nanterre,92050,Hauts-de-Seine,Île-de-France,2 023,"0,155","0,011"
Orléans,45234,Loiret,Centre,2 012,"0,155","0,513"
Sochaux,25547,Doubs,Franche-Comté,2 020,"0,155","0,530"
Portel,62667,Pas-de-Calais,Nord-Pas-de-Calais,2 015,"0,154","0,575"
Evreux,27229,Eure,Haute-Normandie,2 018,"0,154","0,551"
Blois,41018,Loir-et-Cher,Centre,2 017,"0,154","0,535"
Poitiers,86194,Vienne,Poitou-Charentes,2 019,"0,154","0,522"
Gries,67169,Bas-Rhin,Alsace,2 023,"0,154","0,000"
Gries,67169,Bas-Rhin,Alsace,2 022,"0,154","0,000"
Chartres,28085,Eure-et-Loir,Centre,2 016,"0,152","0,519"
Chartres,28085,Eure-et-Loir,Centre,2 023,"0,152","0,003"
