Club,Année,Droits audiovisuels,Sponsors - Publicité,Recettes matches,Autres produits,Rémunération personnel,Autres charges
Pau FC,2017,5024,2748,751,1055,10750,6695
RC Lens,2017,6269,3131,5939,2663,17550,16449
RC Strasbourg Alsace,2017,23091,4826,3336,5396,35531,13895
Rodez Aveyron Football,2017,5124,2856,789,1145,11500,6985
Stade Brestois 29,2017,5931,6806,1407,2695,11825,6842
Stade Malherbe Caen,2017,21212,7665,2460,2791,21879,11172
Stade Rennais FC,2017,42186,18961,6275,6952,53626,23837
Stade de Reims,2017,51157,12727,9613,6146,63639,17521
Toulouse FC,2017,20857,12200,3090,4422,31442,10182
US Dunkerque,2017,5128,2905,782,1095,11085,6870
US Quevilly-Rouen Métropole,2017,6150,3075,987,1280,12500,7510
Valenciennes FC,2017,5250,2999,795,1130,11520,7005
AC Ajaccio,2019,5046,1050,537,1145,7036,4954
AJ Auxerre,2019,5382,2453,482,1361,14248,7466
AS Béziers,2019,4036,591,91,1850,3629,2780
AS Monaco,2019,31682,6790,2475,10131,39493,17588
AS Saint-Étienne,2019,26023,11286,8072,3286,28629,15971
Amiens SC,2019,21597,3978,4434,2422,17459,11907
Angers SCO,2019,23656,5066,2808,3123,28275,12614
Berrichonne de Châteauroux,2019,5408,1233,432,1521,6521,2785
Chamois Niortais,2019,5220,3000,808,1165,11725,7200
Clermont Foot 63,2019,5382,1518,220,955,5278,2956
Dijon Football Côte-d'Or,2019,26337,6498,3842,2447,27408,13594
En Avant de Guingamp,2019,39919,10547,9973,3796,71979,57680
FC Girondins de Bordeaux,2019,23449,5844,4517,2395,28248,13801
FC Lorient,2019,6894,3001,1017,1500,15244,8284
FC Nantes,2019,34221,10656,3678,5841,46071,23304
Gazélec FC Ajaccio,2019,4475,639,365,692,5008,3137
Grenoble Foot 38,2019,4800,1610,903,1063,4973,3989
Havre AC,2019,6356,2536,737,2721,14838,9826
LOSC,2019,43878,14391,13712,5537,60471,47961
Montpellier Hérault SC,2019,27502,9676,7838,6080,41780,27140
Nîmes Olympique,2019,26395,5349,4950,4749,27529,14665
OGC Nice,2019,24577,1474,4261,1952,20899,5671
Olympique Lyonnais,2019,75649,18221,2716,15061,147128,38383
Olympique de Marseille,2019,59818,37272,19741,12743,127210,59621
Orléans Loiret,2019,5920,2935,1245,1430,13250,7945
Paris FC,2019,6274,3202,1154,1385,13028,7645
Paris Saint-Germain,2019,156632,195022,50464,256559,370921,184818
Pau FC,2019,5024,2748,751,1055,10750,6695
RC Lens,2019,6269,3131,5939,2663,17550,16449
RC Strasbourg Alsace,2019,23091,4826,3336,5396,35531,13895
Rodez Aveyron Football,2019,5124,2856,789,1145,11500,6985
Stade Brestois 29,2019,5931,6806,1407,2695,11825,6842
Stade Malherbe Caen,2019,21212,7665,2460,2791,21879,11172
Stade Rennais FC,2019,42186,18961,6275,6952,53626,23837
Stade de Reims,2019,51157,12727,9613,6146,63639,17521
Toulouse FC,2019,20857,12200,3090,4422,31442,10182
US Dunkerque,2019,5128,2905,782,1095,11085,6870
US Quevilly-Rouen Métropole,2019,6150,3075,987,1280,12500,7510
Valenciennes FC,2019,5250,2999,795,1130,11520,7005
Amiens SC,2020,15661,3573,4184,2262,19645,11859
Angers SCO,2020,18087,4875,2475,1975,30943,10980
FC Girondins de Bordeaux,2020,21084,7471,7487,17993,72531,32716
Stade Brestois 29,2020,14685,7240,3989,2614,18668,8016
Dijon Football Côte-d'Or,2020,15970,7541,1832,2220,19268,11501
LOSC,2020,62381,11826,13590,7668,89762,46437
Olympique Lyonnais,2020,180693,0,0,0,132464,0
Olympique de Marseille,2020,54375,35721,14997,13789,118260,62317
