ville,code_commune,departement,region,sport,club,fin_saison,division,classement,score_classement,capacite,taux_remplissage,score_event,nb_crea_entreprise,taux_chomage,salaire_median,class,coeff_division,score_sportif,salaire_median_norm,taux_chomage_norm,nb_crea_entreprise_norm,score_economique
Nîmes,30189,Gard,Languedoc-Roussillon,football,Nîmes Olympique,2022,2,9,29,8033,0.23,0.0,2662,,,0.6,0.5,0.509,,,0.02909162873540471,
Nîmes,30189,Gard,Languedoc-Roussillon,football,Nîmes Olympique,2023,2,19,39,8033,0.35,0.0,2838,,,0.1,0.5,0.34500000000000003,,,0.031026672823625128,
Toulouse,31555,Haute-Garonne,Midi-Pyrénées,football,Toulouse,2022,2,1,21,33150,0.36,0.0,11248,,,1.0,0.5,0.708,,,0.12349099544824857,
Toulouse,31555,Haute-Garonne,Midi-Pyrénées,football,Toulouse,2023,1,13,13,33150,0.72,0.0,11252,,,0.4,1.0,0.776,,,0.12353497372298085,
Bordeaux,33063,Gironde,Aquitaine,football,G. Bordeaux,2022,1,20,20,42115,0.55,0.0,8637,,,0.05,1.0,0.585,,,0.09478417661675133,
Bordeaux,33063,Gironde,Aquitaine,football,G. Bordeaux,2023,2,3,23,42115,0.52,0.0,8468,,,0.9,0.5,0.716,,,0.0929260945093124,
Montpellier,34172,Hérault,Languedoc-Roussillon,football,Montpellier,2022,1,13,13,22000,0.49,0.0,7737,,,0.4,1.0,0.7070000000000001,,,0.08488906480198782,
Montpellier,34172,Hérault,Languedoc-Roussillon,football,Montpellier,2023,1,12,12,22000,0.63,0.0,7665,,,0.45,1.0,0.769,,,0.08409745585680674,
Rennes,35238,Îlle-et-Vilaine,Bretagne,football,Stade Rennais,2022,1,4,4,29778,0.86,0.13,4336,,,0.85,1.0,1.0110000000000001,,,0.04749653671086483,
Rennes,35238,Îlle-et-Vilaine,Bretagne,football,Stade Rennais,2023,1,4,4,29778,0.93,0.25,4086,,,0.85,1.0,1.044,,,0.04474789454009719,
Grenoble,38185,Isère,Rhône-Alpes,football,Grenoble,2022,2,15,35,20068,0.19,0.0,3048,,,0.3,0.5,0.377,,,0.03333553224706995,
Grenoble,38185,Isère,Rhône-Alpes,football,Grenoble,2023,2,10,30,20068,0.28,0.0,2978,,,0.55,0.5,0.504,,,0.03256591243925501,
Saint-Étienne,42218,Loire,Rhône-Alpes,football,Saint-Étienne,2022,1,18,18,41965,0.58,0.0,2789,,,0.15,1.0,0.634,,,0.030487938958154673,
Saint-Étienne,42218,Loire,Rhône-Alpes,football,Saint-Étienne,2023,2,8,28,41965,0.52,0.0,2725,,,0.65,0.5,0.6160000000000001,,,0.029784286562438155,
Nantes,44109,Loire-Atlantique,Pays de la Loire,football,FC Nantes,2022,1,9,9,35322,0.58,0.0,6522,,,0.6,1.0,0.8140000000000001,,,0.07153066385205709,
Nantes,44109,Loire-Atlantique,Pays de la Loire,football,FC Nantes,2023,1,16,16,35322,0.85,0.0,6220,,,0.25,1.0,0.755,,,0.06821030410976978,
Angers,49007,Maine-et-Loire,Pays de la Loire,football,Angers SCO,2022,1,14,14,19350,0.42,0.0,2659,,,0.35,1.0,0.666,,,0.029058645029355498,
Angers,49007,Maine-et-Loire,Pays de la Loire,football,Angers SCO,2023,1,20,20,19350,0.5,0.0,2413,,,0.05,1.0,0.5700000000000001,,,0.026353981133320138,
Reims,51454,Marne,Champagne-Ardenne,football,Stade de Reims,2022,1,12,12,20519,0.57,0.0,3329,,,0.45,1.0,0.751,,,0.03642500604701278,
Reims,51454,Marne,Champagne-Ardenne,football,Stade de Reims,2023,1,11,11,20519,0.66,0.0,3081,,,0.5,1.0,0.798,,,0.03369835301361128,
Laval,53130,Mayenne,Pays de la Loire,football,Stade Lavallois,2023,2,15,35,11107,0.64,0.0,788,,,0.3,0.5,0.512,,,0.008487807023330475,
Nancy,54395,Meurthe-et-Moselle,Lorraine,football,AS Nancy,2022,2,20,40,20087,0.26,0.0,1815,,,0.05,0.5,0.29800000000000004,,,0.019779229060843943,
Lorient,56121,Morbihan,Bretagne,football,FC Lorient,2022,1,16,16,16787,0.76,0.0,876,,,0.25,1.0,0.728,,,0.009455329067440685,
Lorient,56121,Morbihan,Bretagne,football,FC Lorient,2023,1,10,10,16787,0.89,0.0,857,,,0.55,1.0,0.887,,,0.009246432262462344,
Metz,57463,Moselle,Lorraine,football,FC Metz,2022,1,19,19,28786,0.56,0.0,1968,,,0.1,1.0,0.6080000000000001,,,0.021461398069353738,
Metz,57463,Moselle,Lorraine,football,FC Metz,2023,2,2,22,28786,0.55,0.0,1984,,,0.95,0.5,0.7450000000000001,,,0.02163731116828287,
Dunkerque,59183,Nord,Nord-Pas-de-Calais,football,USL Dunkerque,2022,2,19,39,4933,0.46,0.0,1027,,,0.1,0.5,0.378,,,0.01111550893858434,
Lille,59350,Nord,Nord-Pas-de-Calais,football,LOSC Lille,2022,1,10,10,50186,0.69,0.13,6147,,,0.55,1.0,0.8400000000000001,,,0.06740770059590562,
Lille,59350,Nord,Nord-Pas-de-Calais,football,LOSC Lille,2023,1,5,5,50186,0.72,0.0,5803,,,0.8,1.0,0.936,,,0.06362556896892935,
Valenciennes,59606,Nord,Nord-Pas-de-Calais,football,Valenciennes FC,2022,2,16,36,25000,0.29,0.0,653,,,0.25,0.5,0.387,,,0.007003540251115949,
Valenciennes,59606,Nord,Nord-Pas-de-Calais,football,Valenciennes FC,2023,2,16,36,25000,0.32,0.0,664,,,0.25,0.5,0.396,,,0.007124480506629725,
Lens,62498,Pas-de-Calais,Nord-Pas-de-Calais,football,RC Lens,2022,1,7,7,38223,0.85,0.0,438,,,0.7,1.0,0.9349999999999999,,,0.0046397079842557774,
Lens,62498,Pas-de-Calais,Nord-Pas-de-Calais,football,RC Lens,2023,1,2,2,38223,0.99,0.0,434,,,0.95,1.0,1.077,,,0.004595729709523495,
Clermont-Ferrand,63113,Puy-de-Dôme,Auvergne,football,Clermont Foot,2022,1,17,17,13000,0.81,0.0,2416,,,0.2,1.0,0.7230000000000001,,,0.02638696483936935,
Clermont-Ferrand,63113,Puy-de-Dôme,Auvergne,football,Clermont Foot,2023,1,8,8,13000,0.87,0.0,2299,,,0.65,1.0,0.921,,,0.025100600303450096,
Pau,64445,Pyrénées-Atlantiques,Aquitaine,football,Pau FC,2022,2,10,30,4144,0.64,0.0,1353,,,0.55,0.5,0.6120000000000001,,,0.014699738329265343,
Strasbourg,67482,Bas-Rhin,Alsace,football,R. Strasbourg,2022,1,6,6,26109,0.9,0.0,5551,,,0.75,1.0,0.9700000000000001,,,0.06085493766079557,
Strasbourg,67482,Bas-Rhin,Alsace,football,R. Strasbourg,2023,1,15,15,26109,0.97,0.0,4765,,,0.3,1.0,0.8109999999999999,,,0.0522132066759021,
Lyon,69123,Rhône,Rhône-Alpes,football,Ol. Lyonnais,2022,1,8,8,59186,0.61,0.13,14381,,,0.65,1.0,0.856,,,0.15793697913230864,
